sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,0,爱立信,2300942+259,BDDX_DaTian3500MERR-share_1,联通,SA,2300942,259,2300929,1,100,100,633984,120,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300942+258,BDDX_XiYuanHuaFu3500MERR-share_3,联通,SA,2300942,258,2300929,1,100,100,633984,383,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300942+257,BDDX_XiYuanHuaFu3500MERR-share_2,联通,SA,2300942,257,2300929,1,100,100,633984,382,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300942+256,BDDX_XiYuanHuaFu3500MERR-share_1,联通,SA,2300942,256,2300929,1,100,100,633984,381,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350094+258,CZ_QX_CQyintaiguojinanTTERR-3-share,联通,SA,2350094,258,2350080,1,100,100,633984,584,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350094+257,CZ_QX_CQyintaiguojinanTTERR-2-share,联通,SA,2350094,257,2350080,1,100,100,633984,583,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350094+256,CZ_QX_CQyintaiguojinanTTERR-1-share,联通,SA,2350094,256,2350080,1,100,100,633984,582,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350573+1026,CZ_QX_CSXhouguanghuituncun2100MTTERR-3-share,联通,SA,2350573,1026,2350082,1,20,20,428910,212,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350573+1025,CZ_QX_CSXhouguanghuituncun2100MTTERR-2-share,联通,SA,2350573,1025,2350082,1,20,20,428910,211,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350573+1024,CZ_QX_CSXhouguanghuituncun2100MTTERR-1-share,联通,SA,2350573,1024,2350082,1,20,20,428910,210,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303943+1024,BDZZ_DongTaiPingZhuang2100MERR-share_1,联通,SA,2303943,1024,2303749,1,20,20,428910,420,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303943+1026,BDZZ_DongTaiPingZhuang2100MERR-share_3,联通,SA,2303943,1026,2303749,1,20,20,428910,422,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303943+1025,BDZZ_DongTaiPingZhuang2100MERR-share_2,联通,SA,2303943,1025,2303749,1,20,20,428910,421,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304162+256,BDZZ_ShuangYouCheLaoDa3500MERR-share_1,联通,SA,2304162,256,2303744,1,100,100,633984,606,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2304162+257,BDZZ_ShuangYouCheLaoDa3500MERR-share_2,联通,SA,2304162,257,2303744,1,100,100,633984,608,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2304162+258,BDZZ_ShuangYouCheLaoDa3500MERR-share_3,联通,SA,2304162,258,2303744,1,100,100,633984,607,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300948+261,BDDX_XiuZaoChang_YD3500MERR-share_3,联通,SA,2300948,261,2300929,1,100,100,633984,350,636664,n78
